Date,Berri1,Rachel / Papineau,Maisonneuve_2,Maisonneuve_1,Brébeuf,Parc,PierDup,CSC (Côte Sainte-Catherine),Pont_Jacques_Cartier
1/1/2012,35,16,51,38,5,26,10,0,27
2/1/2012,83,43,153,68,11,53,6,1,21
3/1/2012,135,58,248,104,2,89,3,2,15
4/1/2012,144,61,318,116,2,111,8,1,19
5/1/2012,197,95,330,124,6,97,13,2,16
6/1/2012,146,75,244,98,4,86,4,0,17
7/1/2012,98,54,108,80,5,53,6,2,9
8/1/2012,95,63,98,62,13,64,11,1,23
9/1/2012,244,173,432,165,9,198,12,2,23
10/1/2012,397,241,563,238,6,275,18,3,46
11/1/2012,273,194,443,182,7,258,12,0,20
12/1/2012,157,63,261,134,3,137,9,1,15
13/01/2012,75,0,105,41,4,64,2,0,1
14/01/2012,32,1,56,54,0,19,0,0,3
15/01/2012,54,0,60,33,0,18,0,0,2
16/01/2012,168,0,312,136,8,137,1,2,1
17/01/2012,155,0,256,86,4,74,0,0,1
18/01/2012,139,0,188,66,2,68,3,0,20
19/01/2012,191,0,248,104,46,79,3,1,5
20/01/2012,161,1,217,96,4,67,1,4,13
21/01/2012,53,0,70,47,11,32,1,0,5
22/01/2012,71,0,73,41,20,35,5,0,29
23/01/2012,210,0,357,114,22,91,6,6,37
24/01/2012,299,0,444,189,9,174,4,1,20
25/01/2012,334,0,453,217,16,180,4,1,28
26/01/2012,306,1,495,215,3,191,0,0,21
27/01/2012,91,0,204,79,11,65,0,5,186
28/01/2012,80,1,123,61,3,33,9,1,34
29/01/2012,87,0,132,65,6,40,7,1,20
30/01/2012,219,0,371,146,6,152,2,0,38
31/01/2012,186,0,324,109,7,122,0,1,4
1/2/2012,138,0,271,100,10,71,5,0,4
2/2/2012,217,2,345,134,7,128,2,5,4
3/2/2012,174,1,301,103,2,111,1,1,8
4/2/2012,84,0,119,53,16,44,8,0,59
5/2/2012,72,0,133,46,11,54,7,0,58
6/2/2012,248,0,425,136,5,167,10,1,19
7/2/2012,316,0,516,209,12,225,9,0,22
8/2/2012,271,1,503,202,6,215,4,0,27
9/2/2012,342,0,471,227,6,231,11,0,24
10/2/2012,303,2,478,206,13,216,6,1,10
11/2/2012,71,0,112,63,12,49,3,0,22
12/2/2012,78,0,91,36,4,53,5,0,7
13/02/2012,211,0,408,175,13,207,4,0,3
14/02/2012,318,1,504,186,6,243,9,0,11
15/02/2012,307,1,491,180,8,232,5,0,26
16/02/2012,386,0,569,212,3,295,10,1,16
17/02/2012,332,1,496,237,15,260,11,3,6
18/02/2012,220,0,280,159,7,134,30,1,68
19/02/2012,169,2,205,110,7,113,13,3,38
20/02/2012,303,10,470,224,17,243,14,2,30
21/02/2012,441,6,503,292,12,286,10,5,10
22/02/2012,375,3,501,263,7,264,12,10,29
23/02/2012,397,13,528,293,12,329,22,10,21
24/02/2012,243,13,313,187,13,137,4,4,25
25/02/2012,62,5,52,48,1,18,2,0,2
26/02/2012,78,0,47,76,2,35,4,0,14
27/02/2012,119,5,298,94,9,134,3,4,8
28/02/2012,195,3,350,158,22,168,9,0,12
29/02/2012,242,4,446,164,15,190,7,0,11
1/3/2012,92,14,199,56,46,63,0,0,14
2/3/2012,143,1,283,56,31,77,7,0,2
3/3/2012,82,0,133,65,2,47,2,0,12
4/3/2012,107,0,138,79,0,60,15,2,6
5/3/2012,155,2,363,114,88,157,8,1,6
6/3/2012,269,0,437,192,4,170,10,0,11
7/3/2012,438,0,715,290,7,266,28,3,35
8/3/2012,348,9,530,238,2,270,9,6,34
9/3/2012,371,38,575,279,9,268,8,8,23
10/3/2012,182,58,296,162,16,165,0,13,89
11/3/2012,380,285,540,253,12,289,0,60,163
12/3/2012,802,548,1265,618,12,747,0,179,145
13/03/2012,442,325,769,321,9,425,0,145,72
14/03/2012,469,336,739,313,11,451,0,146,96
15/03/2012,724,565,1021,562,10,631,63,244,427
16/03/2012,423,422,695,305,16,419,9,149,234
17/03/2012,681,1008,872,422,13,468,334,287,637
18/03/2012,1940,2477,1923,1036,162,1021,1128,856,2392
19/03/2012,1821,2058,2581,1278,104,1609,506,1024,1593
20/03/2012,2481,2609,3130,1709,243,1955,762,1261,1569
21/03/2012,2829,2846,3510,1893,283,2225,993,1558,1834
22/03/2012,2195,2254,2654,1640,150,1958,548,1030,1360
23/03/2012,2115,2325,2955,1512,125,1791,663,1143,1270
24/03/2012,753,1035,1001,517,54,635,277,336,481
25/03/2012,520,723,691,309,49,427,145,243,264
26/03/2012,968,1168,1493,729,105,965,130,564,477
27/03/2012,1049,1207,1576,774,75,972,163,517,450
28/03/2012,435,529,709,329,35,486,28,179,176
29/03/2012,878,937,1264,646,88,807,78,406,377
30/03/2012,1157,1288,1596,910,146,957,196,529,594
31/03/2012,980,1370,1083,587,175,706,524,499,656
1/4/2012,662,1086,824,442,242,471,168,341,374
2/4/2012,1937,2122,2853,1537,1260,1614,394,967,1065
3/4/2012,2416,2450,3556,1791,1511,1880,513,1078,1235
4/4/2012,2211,2242,2956,1674,1161,1666,274,933,911
5/4/2012,2424,2463,3273,1823,1281,1699,355,1036,1030
6/4/2012,1633,2138,1913,1045,1100,975,621,650,876
7/4/2012,1208,1566,1445,739,716,709,598,494,622
8/4/2012,1164,1533,1333,621,786,704,792,560,761
9/4/2012,828,1001,1048,560,412,605,65,298,230
10/4/2012,2183,2108,2932,1588,1174,1736,252,909,875
11/4/2012,2328,2311,3122,1765,1333,1843,330,1049,966
12/4/2012,3064,3213,4076,2306,1646,2280,590,1483,1474
13/04/2012,3341,3728,4465,2565,1916,2358,922,1505,1689
14/04/2012,2890,3428,2994,1639,1792,1594,1284,1072,1345
15/04/2012,2554,3604,2954,1637,1810,1559,1846,1210,1403
16/04/2012,3643,3616,4830,2723,2081,2677,1061,1841,1679
17/04/2012,3539,3333,4592,2636,1740,2450,544,1616,1439
18/04/2012,3570,3542,4655,2759,1852,2534,706,1751,1631
19/04/2012,4231,3929,5311,3235,2222,2877,1206,2010,1964
20/04/2012,2087,2065,2922,1529,869,1531,170,800,597
21/04/2012,533,755,710,398,311,408,50,212,199
22/04/2012,1853,1779,1331,1224,761,654,198,487,427
23/04/2012,623,846,1076,544,369,612,27,315,221
24/04/2012,1810,1753,2379,1355,888,1286,188,720,565
25/04/2012,2966,2454,3444,2228,1188,1800,445,1023,972
26/04/2012,2751,2438,3546,2196,1193,1789,381,1069,1037
27/04/2012,1986,1899,2586,1526,875,1298,139,743,551
28/04/2012,1684,2323,1908,1190,929,931,523,628,710
29/04/2012,1970,2493,2077,1212,1152,1062,702,765,915
30/04/2012,3610,3541,4675,2825,1885,2446,851,1572,1689
1/5/2012,1986,1960,2766,1722,1020,1516,195,815,763
2/5/2012,3724,3501,4731,2885,1883,2508,876,1677,1809
3/5/2012,3698,3603,4943,3001,1793,2577,731,1618,1538
4/5/2012,2511,2631,3717,2058,1279,1823,380,1163,845
5/5/2012,3492,4108,3696,2106,2075,1779,1677,1366,1576
6/5/2012,3411,4633,3346,1815,2302,1879,2036,1525,1731
7/5/2012,5552,5253,6355,3959,3005,3416,1848,2573,2680
8/5/2012,1241,1383,1729,991,688,1007,119,625,487
9/5/2012,3297,3129,4343,2700,1704,2340,737,1545,1294
10/5/2012,2755,2437,4056,2130,1250,2075,399,1227,1064
11/5/2012,4639,4499,5713,3663,2384,2888,1260,1803,1695
12/5/2012,3854,4855,3894,2429,2309,1805,2268,1457,2092
13/05/2012,2741,3496,3086,1703,1901,1592,1394,1223,7175
14/05/2012,6189,5775,7006,4402,3278,3868,2215,2709,3237
15/05/2012,3964,3765,5088,3144,1972,2650,975,1773,1454
16/05/2012,4947,4348,5882,3681,2409,3057,1332,2178,1893
17/05/2012,5351,4988,6551,4182,2657,3408,1631,2441,2230
18/05/2012,5980,5273,6646,4415,2911,3196,1711,2241,2365
19/05/2012,4732,5293,4673,2807,2723,1966,2914,1454,2628
20/05/2012,5255,5539,4462,2730,2787,2182,4241,1663,3073
21/05/2012,5129,5053,4169,2672,2737,2044,3413,1646,2163
22/05/2012,2315,2069,2599,1847,1225,1610,251,938,679
23/05/2012,5974,4798,7281,4407,2937,3737,1826,2650,2524
24/05/2012,6485,5209,7600,4600,3255,3792,2062,2653,2639
25/05/2012,5670,5174,6677,4096,532,3341,1953,2205,2056
26/05/2012,4981,5443,5017,2936,,2373,3455,1622,2571
27/05/2012,4391,5168,4559,2578,,2073,2886,1525,2364
28/05/2012,4263,3894,5789,3449,,2898,1027,1962,1790
29/05/2012,3152,2731,3912,2325,,1933,475,1184,2012
30/05/2012,6475,5172,7644,4806,,3817,2454,2722,2758
31/05/2012,5123,4410,6632,3985,,3205,1389,2177,1995
1/6/2012,6092,6595,7181,4110,,3895,1692,2604,2579
2/6/2012,904,1436,1259,630,,628,71,392,772
3/6/2012,2763,4936,3774,2020,,2324,1312,1897,1634
4/6/2012,2718,3090,4266,2095,,2168,333,1408,2523
5/6/2012,5843,5348,7314,3927,,3786,1232,2721,1692
6/6/2012,6047,5269,7825,4273,,3987,1223,2724,2746
7/6/2012,6235,5724,8220,4670,,3972,1019,2607,2760
8/6/2012,4190,4474,5898,3303,,3001,623,1833,2996
9/6/2012,5185,6026,5589,3418,,2451,1551,1672,2101
10/6/2012,5083,6170,4761,2905,,2328,1833,1812,2880
11/6/2012,6203,5721,7005,4333,,3757,1264,2577,3020
12/6/2012,3346,3030,4220,2362,,2381,589,1556,1421
13/06/2012,6221,5887,7312,4374,,3825,1968,2792,2863
14/06/2012,6899,6243,7942,4809,,4223,2386,2978,2996
15/06/2012,7104,6491,7685,4999,,4053,2293,2469,2756
16/06/2012,5412,5537,4900,3099,,2337,3280,1651,2446
17/06/2012,4597,5128,4077,2082,,2020,3453,1552,2879
18/06/2012,5918,5496,6835,3582,,3960,2455,2703,3012
19/06/2012,5389,5015,6673,3447,,3438,1711,2360,2529
20/06/2012,5715,4852,6857,3524,,3510,2363,2402,2734
21/06/2012,5186,4957,6686,3297,,3272,2265,2195,2503
22/06/2012,5404,5263,6666,3612,,3252,2009,1934,4577
23/06/2012,3738,4824,3991,1842,,1910,2585,1326,2520
24/06/2012,3334,4581,2977,1423,,1510,3634,1152,2907
25/06/2012,2249,3283,3020,1374,,1440,1349,1077,2782
26/06/2012,3322,3223,4314,2139,,2193,620,1435,1259
27/06/2012,3152,2897,4212,2142,,2134,536,1322,1137
28/06/2012,6098,5175,6886,4411,,3523,2415,2381,2641
29/06/2012,5783,5332,6662,4004,,3090,2109,1935,2493
30/06/2012,4728,4527,4234,3007,,1822,2870,1359,2743
1/7/2012,4738,4522,3952,2911,,1777,3732,1343,2426
2/7/2012,4143,4464,3977,2658,,1883,2783,1397,2048
3/7/2012,6708,5462,7399,4398,,3896,2606,2634,3251
4/7/2012,5147,4493,5824,3591,,3070,1246,2038,2029
5/7/2012,6703,5153,7763,4830,,3816,2746,2603,2112
6/7/2012,5963,5610,6955,4137,,3387,2248,2095,2414
7/7/2012,5445,4939,5000,3802,,2132,3156,1289,2286
8/7/2012,4677,5535,4457,2407,,2089,4386,1497,3331
9/7/2012,5669,4987,6765,3524,,3577,2599,2330,2953
10/7/2012,6518,5952,7447,4064,,3749,2822,2625,3294
11/7/2012,6424,5474,7366,3921,,3781,2779,2548,4153
12/7/2012,6178,5140,7202,3772,,3687,2433,2371,2565
13/07/2012,5515,5185,6508,3525,,3088,2219,2005,2488
14/07/2012,4227,4252,4281,2441,,1562,2900,1244,2378
15/07/2012,3008,3545,3406,1798,,1449,2034,1060,1945
16/07/2012,4822,4379,6053,3141,,2965,1703,2092,2323
17/07/2012,2761,2641,3799,2001,,1700,569,1046,783
18/07/2012,6184,5884,7324,3750,,3654,2813,2589,3037
19/07/2012,6322,5665,7708,3996,,3777,2647,2397,1345
20/07/2012,5812,5775,6952,3744,,3316,2538,2088,3096
21/07/2012,5118,4848,4683,2957,,1821,3835,1419,2460
22/07/2012,4938,4787,4086,2683,,1788,2960,1238,2723
23/07/2012,3858,3475,4911,2420,,2534,1461,1660,2130
24/07/2012,5252,4694,6746,3465,,3317,2170,2318,2700
25/07/2012,6107,5059,7065,3786,,3622,3132,2593,3564
26/07/2012,5591,4383,6490,4174,,3208,1595,2043,2332
27/07/2012,5733,5295,6870,3658,,3275,2653,1948,2959
28/07/2012,4115,4631,4501,2504,,1767,2468,1345,2653
29/07/2012,4207,4906,4237,1791,,1905,3731,1332,3232
30/07/2012,5225,5100,6210,2975,,3196,2564,2285,3205
31/07/2012,5422,4468,6707,3145,,3222,2505,2185,3023
1/8/2012,4644,3889,5852,2783,,2810,1481,1842,2197
2/8/2012,5700,4828,6968,3340,,3329,2643,2361,2957
3/8/2012,5612,5031,6451,3306,,2789,3195,1915,4858
4/8/2012,4213,4467,4407,2019,,1769,2939,1305,3994
5/8/2012,1838,2268,2300,1100,,970,1066,630,2098
6/8/2012,5247,4604,6375,3193,,3187,2274,2277,3130
7/8/2012,5987,4903,6833,3622,,3480,2780,2410,3186
8/8/2012,5516,4771,6883,3365,,3403,2226,2313,2926
9/8/2012,4117,3636,5366,2601,,2656,1471,1802,2025
10/8/2012,2408,2456,3318,1727,,1641,440,934,927
11/8/2012,2454,2608,2626,1589,,1043,1340,815,1456
12/8/2012,3993,4178,3433,1937,,1719,2988,1338,2721
13/08/2012,4934,4842,5934,3124,,3151,2090,2298,2868
14/08/2012,5339,4362,6331,3571,,3260,1456,2322,2883
15/08/2012,4307,3877,4953,2936,,2686,970,1882,2061
16/08/2012,6055,4943,6564,3898,,3366,1549,2538,3158
17/08/2012,4239,4154,4983,3099,,2581,586,1777,1999
18/08/2012,4443,4359,3853,2505,,1864,1229,1333,2159
19/08/2012,4613,4478,3771,2605,,1758,1683,1408,2369
20/08/2012,5342,5201,6086,3521,,3332,1439,2474,3140
21/08/2012,5791,5640,6705,4063,,3369,2353,2508,3265
22/08/2012,6532,5154,7050,4513,,3774,2391,2671,3231
23/08/2012,5447,5010,6789,3807,,3573,1864,2482,2900
24/08/2012,5695,5299,6714,3778,,3312,2178,2394,2881
25/08/2012,4229,4833,4118,2358,,1726,2558,1305,2114
26/08/2012,3953,4536,3545,2118,,1750,2932,1318,2570
27/08/2012,4318,3598,5189,3098,,2762,1010,2273,2130
28/08/2012,5809,4720,6310,3966,,3420,1629,2794,2645
29/08/2012,6337,5342,7017,4370,,3759,2152,3092,3147
30/08/2012,5999,5202,6787,4199,,3481,1796,2910,2877
31/08/2012,4130,4188,5061,2999,,2541,875,1868,1658
1/9/2012,3922,3845,3915,2371,,1887,2801,1225,2370
2/9/2012,3701,4247,3811,2093,,1788,2959,1232,2338
3/9/2012,4160,4709,3716,2233,,1620,3783,1532,2724
4/9/2012,4226,3868,5271,3057,,3006,894,1934,1859
5/9/2012,5669,4491,7116,3861,,4061,1383,2722,2369
6/9/2012,5883,4732,7514,3967,,4014,1498,2883,2644
7/9/2012,6193,6104,7347,4153,,3886,2051,2720,2874
8/9/2012,2138,2626,2712,1467,,898,801,1192,1146
9/9/2012,3310,4355,3459,1828,,2668,2118,1810,2107
10/9/2012,5073,4984,6638,3718,,3849,1271,2792,2440
11/9/2012,6023,5451,7147,4081,,4314,1484,2913,2623
12/9/2012,6357,5697,7302,4209,,4510,1981,3124,3063
13/09/2012,6513,5742,7529,4369,,4494,1986,3076,2943
14/09/2012,5203,4918,6084,3480,,3574,1524,2257,2276
15/09/2012,3357,3426,3108,1900,,1593,1268,1100,1478
16/09/2012,3624,3696,3031,1614,,1852,2348,1231,1849
17/09/2012,5295,4788,6579,3670,,4076,1704,2658,2613
18/09/2012,2532,2377,3247,1695,,2275,388,1277,1038
19/09/2012,4662,4189,5755,3176,,3738,840,2351,1860
20/09/2012,5255,5119,6352,3615,,3991,1391,2496,2414
21/09/2012,4019,3886,4731,2911,,2945,889,1821,1662
22/09/2012,1524,1974,1703,1073,,971,365,656,588
23/09/2012,2304,3321,2560,1496,,1470,984,1093,1507
24/09/2012,4560,4683,5744,3117,,3705,1100,2246,2043
25/09/2012,5045,4420,5857,3273,,3712,1007,2236,1959
26/09/2012,3948,3721,4751,2720,,3119,650,1873,1561
27/09/2012,5115,4598,5985,3465,,3704,1152,2288,2196
28/09/2012,4664,4361,5377,3209,,3309,1133,2134,1905
29/09/2012,1882,2267,1956,1206,,1062,442,755,780
30/09/2012,867,1162,946,513,,520,133,359,320
1/10/2012,3264,2987,3837,2184,,2582,397,1576,1161
2/10/2012,5154,4497,5847,3281,,3732,1229,2525,2135
3/10/2012,4676,3941,5476,3191,,3415,858,2377,1711
4/10/2012,4034,3418,4852,2705,,3066,555,2025,1501
5/10/2012,4148,4088,4703,2799,,2844,1035,1977,1703
6/10/2012,1296,1775,1578,933,,776,236,469,4229
7/10/2012,1589,2052,1627,922,,860,695,660,836
8/10/2012,1854,2502,1810,987,,1040,1115,880,292
9/10/2012,4783,4078,5138,3026,,3418,927,2210,255
10/10/2012,3111,2703,3683,2081,,2608,560,1537,0
11/10/2012,3757,3457,4694,2569,,3034,558,1857,0
12/10/2012,3167,3224,4054,2261,,2564,448,1460,0
13/10/2012,1773,2309,2111,1205,,1183,681,802,0
14/10/2012,583,952,839,443,,503,65,287,0
15/10/2012,3298,3183,4202,2165,,2754,560,1678,0
16/10/2012,3748,3593,4676,2684,,2997,554,1858,0
17/10/2012,4097,3834,4847,2645,,3063,728,1964,0
18/10/2012,4685,4245,5548,3129,,3477,1108,2292,0
19/10/2012,1292,1486,1659,885,,1209,111,597,0
20/10/2012,2010,2243,2265,1323,,1213,797,748,0
21/10/2012,1275,1648,1773,869,,898,242,609,0
22/10/2012,3657,3721,4810,2495,,3023,757,1819,0
23/10/2012,4174,3554,5212,2795,,3233,795,1997,0
24/10/2012,3741,3622,4901,2625,,3035,649,1868,0
25/10/2012,3745,3767,5015,2528,,3017,631,1815,0
26/10/2012,4285,4578,5269,2754,,3000,1456,1987,0
27/10/2012,1865,2471,2435,1244,,1193,618,792,0
28/10/2012,1296,1876,1770,910,,955,387,697,0
29/10/2012,2916,2795,3764,2071,,2440,411,1458,0
30/10/2012,2894,2790,3525,2007,,2255,338,1251,0
31/10/2012,2630,2570,3454,1835,,2220,245,1294,0
1/11/2012,2408,2461,3069,1701,,2076,165,1208,0
2/11/2012,1575,1888,2291,1109,,1392,97,737,0
3/11/2012,844,1302,1129,612,,713,105,380,0
4/11/2012,965,1374,1283,710,,692,197,446,0
5/11/2012,2255,2430,3216,1705,,2143,179,1170,0
6/11/2012,2529,2679,3365,1804,,1999,197,1201,0
7/11/2012,2324,2391,3227,1745,,2079,177,1116,0
8/11/2012,2267,2436,3279,1716,,2032,167,1113,0
9/11/2012,2314,2376,3046,1734,,1727,228,1012,0
10/11/2012,1358,1801,1531,941,,808,210,512,0
11/11/2012,1080,1455,1321,761,,769,239,502,0
12/11/2012,3019,2954,3978,2087,,2374,639,1409,0
13/11/2012,2290,2452,3303,1722,,1994,113,1177,
14/11/2012,2580,2602,3388,1811,,2125,218,1206,
15/11/2012,2242,2411,3042,1644,,1963,140,1119,
16/11/2012,1861,2083,2417,1325,,1550,200,885,
17/11/2012,977,1393,1211,685,,706,157,429,
18/11/2012,886,1271,1039,520,,603,207,390,
19/11/2012,1674,2014,2427,1220,,1699,194,940,
20/11/2012,1886,2265,2598,1405,,1726,181,992,
21/11/2012,1997,2269,2729,1485,,1784,260,1110,
22/11/2012,2197,2382,2891,1418,,1868,286,1143,
23/11/2012,1716,2033,2337,1152,,1451,194,896,
24/11/2012,605,998,879,413,,482,69,301,
25/11/2012,523,866,719,302,,390,38,229,
26/11/2012,1467,1656,1956,1007,,1346,89,663,
27/11/2012,1686,1820,2135,1090,,1413,100,786,
28/11/2012,1395,1602,1804,920,,1207,65,685,
29/11/2012,681,886,1011,483,,504,26,267,
30/11/2012,693,784,937,482,,536,13,148,
1/12/2012,293,468,372,219,,226,26,55,
2/12/2012,324,393,395,115,,218,35,100,
3/12/2012,1286,1499,1753,876,,1184,116,653,
4/12/2012,1264,1502,1654,882,,1139,97,639,
5/12/2012,1204,1402,1573,846,,980,40,585,
6/12/2012,1252,1392,1595,811,,1036,76,544,
7/12/2012,1151,1384,1574,742,,903,65,466,
8/12/2012,382,546,459,265,,298,26,192,
9/12/2012,427,642,513,272,,314,52,180,
10/12/2012,245,323,375,148,,126,5,17,
11/12/2012,517,598,711,336,,308,20,0,
12/12/2012,598,699,852,417,,360,14,1,
13/12/2012,655,781,844,400,,431,26,1,
14/12/2012,738,856,878,457,,474,41,2,
15/12/2012,335,464,375,205,,185,10,0,
16/12/2012,177,251,205,100,,96,10,0,
17/12/2012,236,204,355,135,,51,11,0,
18/12/2012,242,169,256,125,,21,9,0,
19/12/2012,346,383,456,181,,162,1,0,
20/12/2012,433,434,538,262,,166,9,0,
21/12/2012,178,208,249,86,,56,6,1,
22/12/2012,84,62,71,35,,16,1,0,
23/12/2012,82,87,50,39,,19,4,0,
24/12/2012,51,101,92,33,,25,1,0,
25/12/2012,26,59,26,22,,8,17,0,
26/12/2012,49,95,74,48,,20,7,0,
27/12/2012,12,8,7,4,,1,2,0,
28/12/2012,35,0,3,38,,0,0,0,
29/12/2012,27,0,8,42,,9,0,0,
30/12/2012,5,0,1,5,,6,0,0,
31/12/2012,4,0,3,8,,12,0,0,
